"mmsi","alb_cc","bet_cc","other_cc","swo_cc","yft_cc"
"412209076",0.0504783404892993,0.520555782898277,0.14222691506764,0.142146944821766,0.144592016723019
"412209077",0.0334702601346129,0.544097542614369,0.136790157948878,0.181070567665788,0.104571471636352
"412209187",0.0190121619720729,0.603554468192437,0.139423779877661,0.110544404284761,0.127465185673068
"412209188",0.0877675740951583,0.493573048423655,0.149317251249318,0.121943591794195,0.147398534437674
"412209233",0.450964075337201,0.130760681811688,0.0797012625750844,0.0187225791771706,0.319851401098855
"412209234",0.382667419357626,0.183425110777933,0.0832171023602236,0.0193802835507577,0.331310083953459
"412270001",0.0572906422551104,0.555360393045046,0.120119691375172,0.157131575237429,0.110097698087242
"412270059",0.0524159704168871,0.561538963127932,0.125390213669788,0.160091871220067,0.100562981565326
"412300365",0.555243280527162,0.0846920385367425,0.0639235388338894,0.0119073285969225,0.284233813505284
"412302021",0.0576531987866458,0.538640643074017,0.144756397707068,0.152644318130162,0.106305442302108
"412320023",0.673096633470389,0.0390409761049625,0.057640742603665,0.0103980877294204,0.219823560091563
"412320024",0.689496612024453,0.0387767443732608,0.0500132733283623,0.00977754206781679,0.211935828206107
"412320026",0.664952022428325,0.0398927262085344,0.0658076762072514,0.0108112872163247,0.218536287939565
"412321680",0.706346670559896,0.0351914972165486,0.0779188872534019,0.0204144199585936,0.16012852501156
"412322630",0.621735523414721,0.0749307385723008,0.134533462738769,0.0292799533366706,0.139520321937538
"412326798",0.510349065150096,0.0948817404864002,0.0987222998373106,0.0973747900639648,0.198672104462228
"412326799",0.542884661635214,0.140633592330617,0.112636792311964,0.0494566740519994,0.154388279670206
"412326873",0.51970779291608,0.113722354274608,0.127094359051898,0.0314519735338535,0.208023520223561
"412326875",0.360864437139704,0.258680331175963,0.084723144689482,0.0297581663036567,0.265973920691194
"412326876",0.132013869586461,0.360801131599064,0.132342335686113,0.0367183764979018,0.33812428663046
"412326881",0.266712249989479,0.121043929838824,0.0796972095691433,0.0142124902007064,0.518334120401847
"412326893",0.660269210750412,0.0448108003432942,0.0556625734166654,0.010261779696493,0.228995635793136
"412326894",0.660537143565207,0.0460989348486765,0.0539347067750282,0.00878260922091089,0.230646605590177
"412326895",0.636295201004682,0.0445457728817551,0.0513815827130016,0.0100544670236891,0.257722976376872
"412326901",0.655828860741941,0.0426322263152995,0.0566458447072815,0.00829732387154356,0.236595744363934
"412326902",0.642060723993875,0.042666876563372,0.0633835032580473,0.0106207294930165,0.24126816669169
"412326903",0.671973052753617,0.0322902025103821,0.0506793044927352,0.00922877785613125,0.235828662387134
"412326904",0.657432058675889,0.0400569967695944,0.0560274617518173,0.0125188795319621,0.233964603270737
"412326905",0.647614780369496,0.0560093030765648,0.0634675416240232,0.0106924715356719,0.222215903394244
"412326906",0.655695901661001,0.0501187808549387,0.0581572610450186,0.00979037366316119,0.22623768277588
"412326971",0.617559125041874,0.158624658459413,0.0647890126783936,0.0433429636541785,0.115684240166141
"412328714",0.0182812354447157,0.556917128381878,0.156738470368708,0.105006824749365,0.163056341055333
"412328724",0.41499478290259,0.139512059179824,0.120505085014191,0.0232331809728407,0.301754891930554
"412328725",0.448438807210251,0.129682749680227,0.129087763335999,0.0157472988860139,0.27704338088751
"412328726",0.503570144125702,0.135240553232406,0.128842119852667,0.0179464172377435,0.214400765551481
"412328728",0.200135555779252,0.297262957208169,0.152006408552318,0.0372175412030367,0.313377537257223
