"mmsi","length","tonnage"
"431008486",16.88,29.26
"431501789",18.94,19
"432942000",50.59,436
"431010968",18.57,42.59
"432411000",52.25,587.5
"431601968",14.96,18
"431010305",15.05,35.81
"431501176",23.11,19
"431010144",16.41,38.47
"431500078",14.97,19
"431249000",50.59,617.5
"431680630",14.99,19
"431009129",19.35,96.33
"431204000",52.6,687.33
"431013713",22.43,19
"431501250",16.77,19
"431011377",21.1,19
"431539000",51.4,620
"431601830",18.27,19
"431600250",14.85,18
"431007089",21.65,53.8
"431010199",19.93,46.47
"431918000",16.81,19
"431500100",26.07,134.87
"431009291",15.23,21.92
"431001235",18.93,19
"431700200",48.18,405.5
"431414000",30.1,99
"431008866",17.94,39.49
"431700550",53.07,567
"431700060",51.46,478
"431000138",19.08,19
"431011825",19.08,36.17
"431010242",18.38,50.59
"431500370",16.68,19
"431680370",16.61,19
"431001573",18.95,19
"431501805",18.96,19
"431301296",12.61,19
"431010306",16.11,34.14
"431680182",14.97,19
"431501252",15.57,19
"431601550",25.36,47.98
"431007139",19.7,48.3
"431680620",15.65,19
"431600276",16.66,19
"431602092",14.95,19
"431601317",17.21,19
"431011788",21.71,64.02
"431361000",50,514
"431704330",53.3,514
"431601929",19.63,18
"431500682",16.53,19
"431009388",19.83,44.03
"431700454",17.59,19
"431329000",49.2,519.25
"431700190",38.58,274
"431200503",21.44,19
"431701780",50.2,508
"431703830",49.99,584.5
"431680360",16.98,19
"431003457",17.03,19
"431600490",21.78,19
"431601932",13.86,14
"431006805",20.69,49.83
"431601970",16.4,19
"431101210",50.38,535
"431501786",18.97,19
"431680141",15.93,19
"432943000",50.59,546
"431154000",49.2,512.5
"431000582",18.92,19
"431602750",28.91,86.27
"431002571",17.78,19
"431000650",48.4,459
"432515000",51.4,681.75
"431010206",17.7,37.24
"431009808",21.78,54.69
"431007192",23.33,47.61
"431010295",19.89,43.21
"431600078",24.5,81
"431600630",16.5,19
"431500410",20.1,18
"431011829",20.2,59.71
"431008885",24.29,76.83
"431500637",16.63,19
"431011066",20.52,47.42
"431005871",24.62,19
"431009343",18.28,43.67
"431702040",31.5,119
"431010493",23.1,42.52
"431644000",52.61,615
"431893000",51.4,549.5
"431600240",21.18,18
"431000254",18.94,19
"432306000",50.6,531.25
"431501170",17.25,19
"431000343",18.97,19
"431000775",18.91,19
"432453000",52.2,608
"431704110",51.6,514
"431937000",35,257.5
"431003949",19.61,82.39
"431602128",22.54,19
"431007598",20.22,42.85
"431501624",16.75,18
"431011755",21.15,54.33
"431011843",21.2,72.35
"431012705",20.63,59.31
"431008861",22.57,42.24
"431007496",22.29,48.81
"431500360",16.64,19
"431600410",16.79,19
"431000857",18.93,19
"431012167",12.95,23.69
"431010149",20.01,43.9
"431680550",15.98,19
"431602316",18.7,19
"431008996",21.62,44.81
"431200702",18.68,19
"431010832",19.87,100.61
"431700980",48.71,478
"431008501",15.89,34.2
"431010408",19.13,51.81
"431002191",43.73,233
"431010406",16.22,32.65
"431000662",20.68,47.76
"431007781",20.18,42.97
"431602221",16,14
"431253000",52.69,478
"431009351",17.61,34.84
"431007378",21.89,57.22
"432626000",53.31,549.5
"431501186",17.24,18
"431007015",21.47,19
"431601805",14.95,19
"431600570",28.49,62.52
"431490000",49.2,514.5
"431600640",24.65,71
"431008962",18.84,38.25
"431010315",19.68,52.88
"431448000",50.59,596.5
"431500044",16.27,19
"431007186",20.01,47.58
"431200599",21.97,19
"431500040",52.69,535
"431500430",52.67,478
"431200730",53.3,514
"432924000",50,549.5
"431000356",19.97,19
"431200070",16.5,19
"431600390",16.98,18
"431300420",18.91,14
"431010154",19.52,50.4
"431602339",14.23,17
"431007379",20.09,54.57
"431602086",17.12,19
"431101240",48.4,518
"431700120",31.5,193
"431701710",49.9,545
"431601931",14.93,18
"431009381",20.63,55.76
"431702540",31.5,119
"432955000",49.27,500.5
"431008959",19.26,42.87
"431200343",16.33,19
"431010937",16.07,33.75
"431680280",16.98,19
"431602346",18.97,19
"431663000",51.17,436.24
"431009308",18.92,31.74
"431602156",15.56,19
"431300480",14.99,19
"431702510",31.41,194.33
"431704070",48,478
"431501114",16.57,19
"431003252",16.26,19
"431602322",18.94,19
"431680225",14.95,14
"432881000",50.59,546
"431424000",52.78,619
"432343000",51.2,585
"431600320",16.45,19
"431680113",17.46,19
"432909000",41.35,257.5
"431010496",22.02,29.83
"431101320",52.99,577.33
"431500516",14.8,12
"431010158",16.54,40.42
"431000672",17.7,19
"431000638",17.79,19
"431680124",16.32,19
"431501605",23.08,19
"431006989",23.06,63
"431009307",19.58,54.15
"431680410",14.95,19
"431001016",20.8,17
"431009122",20.63,44.95
