"mmsi","Foreign_EEZ_Percentage","HighSeas"
"367442170",0,0.53227784136748
"367445940",0,0.80996648101653
"367449780",0,0.789920997239004
"367460990",0,0.64109083746665
"367467330",0,0.602419970851629
"367471530",0,0.604850206703782
"367477330",0,0.856731191143214
"367479170",0,0.674334269681664
"367479450",0,0.645113652967083
"367480150",0,0.816119298757609
"367482650",0,0.799127961272662
"367485680",0,0.93648639503033
"367490140",0,0.863472672154013
"367492480",0,0.669256698543982
"367507280",0,0.737145151070303
"367511170",0,0.771970910061382
"367513810",0,0.789092973620851
"367514890",0,0.9624326685107
"367516940",0,0.644526262492846
"367523880",0,0.514642971189093
"367556120",0,0.732452661484547
"367557620",0,0.953315598235141
"367568960",0,0.821141383639263
"367571490",0.147549125458864,0.830216655869863
"367577170",0,0.633844170724721
"367578510",0,0.677666286743921
"367590390",0,0.466772684267889
"367593450",0,0.945869018380185
"367601630",0,0.713714501800869
"367602730",0,0.343756253139331
"367602740",0,0.458062270084597
"367602750",0,0.498923796879893
"367603420",0,0.841466258604855
"367604540",0,0.690839772316864
"367607880",0,0.888108718826
"367638270",0,0.505232117436078
"367638280",0,0.635105721027977
"367639430",0,0.973796937162788
"367645140",0,0.645744414899661
"367659170",0,0.787778545615208
"367662660",0,0.784078972993509
"367667090",0,0.723267762990844
"367667630",0,0.955835112345718
"367681130",0,0.889084938750706
"367682040",0,0.850662841976864
"367692620",0.00446017031400694,0.98710627435828
"367705430",0,0.789360732029432
"367707220",0,0.780576727124516
"367707290",0,0.91595958094955
"367711290",0,0
"367711550",0,0.488022717638109
"367716130",0,0.596987746379612
"367719270",0,0.699657551774356
"367722830",0,0.872940925114838
"367729830",0,0.559785533092474
"367732990",0,0.517930596779889
"367733060",0,0.779505869787226
"367738010",0,0.381044258938415
"367743820",0,0.853999405292893
"367754830",0,0.627413755237194
"367755180",0,0.859626051763876
"367755410",0,0.709542356377799
"367756070",0,0.757772671866067
"367756640",0,0.794066442659712
"367761510",0,0.823699506227157
"367762610",0,0.753400031830085
"367762810",0,0.868795071234536
"367776630",0,0.883652187985172
"367789570",0,0.754083582996098
"367798710",0,0.988401988230589
"368001140",0,0.978969933028834
"368001590",0,0.730704898446834
"368003650",0,0.436679873505143
"368012840",0,0.964628232434449
"368013420",0,0.91797114763161
"368014640",0,0.949917023123267
"368017310",0,1
"368017650",0,0.990492133813043
"368025960",0,0.449962290421767
"368030050",0,0.431368757442218
"368059350",0,0
"368063530",0,1
"368144000",0.000631590868502781,0.807203620540206
"368492000",0,0.553755661573767
"369004000",0,0.999508395099077
"369059000",0,0.0200198759466776
"369060000",0,0
"369188000",0,0
"369189000",0,0
"372702000",0,0.997175797784304
"412002099",0,1
"412002127",0,1
"412002142",0.0251449807441596,0.97485501925584
"412002275",0,1
"412004811",0.000310087552546358,0.999689912447454
"412005168",0.00426719547574456,0.995732804524255
"412005429",0,1
"412200078",0,1
"412200079",0,0.983323555499682
