"mmsi","Distance_A","Distance_B"
412328793,2508475.33539276,693166.676431691
412328795,6107991.46230004,461751.705059245
412328797,4972944.8467675,301074.812277207
412329405,277300.837037382,140006.655372069
412329416,1302255.46980254,752141.145962519
412329417,4354417.39445837,332974.724410222
412329418,2657114.17549542,331795.169615365
412329422,2223853.30435979,1000321.25637755
412329423,1561489.80053422,684796.183871019
412329424,2103283.575119,523344.21922606
412329425,2005214.32329601,467874.60224043
412329426,1947330.60136973,1121013.41580773
412329428,1406767.67990065,1145065.53460664
412329459,4158458.35733414,864680.372666849
412329461,3147450.00331591,1044187.26449178
412329557,3796846.1160698,356767.872755012
412329588,3828659.29928488,478427.178060561
412330102,1684343.73974039,560847.800160425
412330103,1554135.09842962,791462.675013025
412330104,2146705.61221947,708892.554474959
412331009,1302992.55384535,476524.475713712
412331011,1320757.34831014,427058.422364624
412331012,784346.096647283,256975.796782496
412331013,1304624.30636455,442079.75895905
412331014,5560.24137785387,0
412331026,2361223.85434327,615942.615405172
412331027,2873753.7359872,733920.785160346
412331028,971563.204235698,212927.932999282
412331029,957869.210316461,377368.766748048
412331031,1082996.27474254,832575.811101865
412331032,1106594.5978973,763961.321124435
412331033,2166590.74341233,567273.227243724
412331063,2073979.20264561,968394.845534172
412331064,2299487.72020615,708447.503134038
412331069,0,0
412331085,3997397.82975847,0
412331099,610926.626386612,488640.68962413
412331101,549462.842135283,323000.116128683
412331102,701446.81327093,480503.247122103
412331103,809615.108704209,521531.199061319
412331104,354971.312352677,217940.361821492
412331105,761712.892321161,531960.470494834
412331163,0,0
412331499,2935051.99853062,680970.646353521
412333792,4058912.0466577,425278.155790439
412333793,1040229.91996207,242959.739503722
412333794,3863189.46508778,476347.746988293
412333795,3835738.41543504,456400.044519092
412370007,1878284.60130452,437822.399136613
412371191,2150125.28633819,296492.224890078
412371192,1728774.48242144,605048.796818139
412371197,1182558.71510742,311898.331875671
412371198,1663790.92311832,387101.671541413
412371206,2078429.69140739,362826.401209747
412371207,2290962.56743052,265076.214281097
412371208,2384416.59253163,326326.100139495
412400154,811149.973660008,245241.639111963
412400155,2966662.49293825,201851.813239697
412420195,5400048.78846855,2079701.54066588
412420236,4308204.42137172,471457.853100323
412420237,2040365.327654,356147.975311188
412420239,4959526.93338192,460028.949686344
412420433,1782679.3821578,878786.733237597
412420434,745372.875020497,342063.150023281
412420435,2562674.23545988,992216.766617242
412420436,1774027.69449312,773229.02802901
412420582,3499624.10516323,1581306.13898663
412420583,3285958.8835076,1165366.88311702
412420585,2976142.82966797,993070.186490025
412420793,2052894.28196066,1240230.96602176
412420794,2304621.26414356,285916.840581375
412420795,2054941.24620773,652969.160204673
412420796,1914261.77742239,905916.885247851
412420811,3416774.57736402,1006208.18288786
412420812,2583405.05020905,753817.002023098
412420813,2935086.51766955,870424.991000018
412420814,3337195.41746767,1099877.71775166
412420817,4319359.57462312,1213094.04989217
412420818,8438715.18748232,747581.277419626
412420819,4173673.83621906,289752.586839812
412420846,3717437.22137101,1116332.5389518
412420847,3969061.34749455,1128875.48627351
412420848,4085542.78468586,1174575.44025574
412420849,1835361.40431484,1259163.98332748
412420851,3534555.72048584,1104526.45832775
412420852,4326872.51983577,673317.556281712
412420863,4997266.86428539,1001647.96604759
412420865,6739165.62866531,534373.143909211
412420871,2372278.21590626,1248498.87410453
412420875,8699517.41167607,586979.726007348
412420877,9314101.65964713,500167.96192695
412420892,1961026.94766458,481264.834663549
412420893,1964824.94360051,623929.927731883
412420896,1823902.26514004,1323319.34839371
412420898,3882222.68488964,752175.555746304
412420901,2132040.85379154,1390271.53008405
412420902,2124875.34649349,1342584.63154367
412420903,1982737.91429128,1231038.33692056
412420905,3751699.14914125,1343280.87973093
412420906,1906656.81459745,356757.342416855
412420911,2472434.32037051,448507.914132112
412420913,3253713.22686103,423395.798819413
412420914,2997223.04798687,515894.984289448
412420915,2154056.65982117,363601.949078506
412420939,5937940.93603696,1715672.77601741
412420944,5808251.41059282,3245111.24007976
412420946,3413396.5397539,1108622.22788042
412421023,3818081.62863658,324329.762831883
412421025,4052275.98302788,331840.744402353
412421026,3651874.85755365,314964.915338859
412421058,3402750.36926211,615628.282373252
412421077,657589.975580897,302096.11389482
412421081,673093.256955944,224904.047811109
412421089,4467521.32814812,488117.993266202
412421094,2561544.40310542,1179066.89347346
412421095,3830197.56762627,1623471.93111172
412421098,2413502.72470165,1492116.05831259
412421099,5587913.49199063,366737.236597053
412421134,667707.200083623,262715.267361174
412421136,625782.91991562,241097.282978629
412421156,2679482.44811546,647605.844603432
412421188,2834476.05228375,604124.07789637
412421199,5124231.23206975,794697.231493063
412421288,1441086.55501918,529095.48676068
412440009,76845.7752058843,40443.5861891653
412440011,1983397.12266618,1284136.89310355
412440029,2711243.73482605,841152.473982508
