"season","mmsi","xcg","ycg"
"Winter",412420865,227.776279367463,-15.4350710786437
"Winter",412420906,234.296836639157,-15.7555259842338
"Winter",412420914,227.31402003458,-13.8181805758935
"Winter",416004583,179.216076922731,3.68028400235359
"Winter",440987000,236.94605079196,-8.36261234815976
"Winter",412420846,185.830900607853,-14.5473868900936
"Winter",412420848,185.802343328293,-14.2176053448151
"Winter",367603420,201.252616808252,16.6917006409284
"Winter",416002695,208.908592704408,-3.28476582154996
"Winter",518676000,188.234910599386,-12.1196099401361
"Winter",367711550,202.603018439603,18.2877999920347
"Winter",431702470,194.63684253243,13.7655872163399
"Winter",224619000,259.878623203016,-8.74803264310341
"Winter",338081000,190.184191513633,-13.4391582973584
"Winter",366928330,190.175765285036,-13.553998401925
"Winter",369189000,190.121402050078,-14.601485195646
"Winter",432914000,249.903493319973,-11.7415985303941
"Winter",367557620,206.214645064619,26.5970275332459
"Winter",368492000,204.930740802606,16.8717793460559
"Winter",224626000,252.986003004851,-20.2911067265223
"Winter",225983597,265.250111321385,-18.9114801815193
"Winter",412321680,169.829900299879,-18.4178921473173
"Winter",412329402,173.206129177704,-16.4746576114524
"Winter",412420435,234.065498741822,-16.5646180171112
"Winter",412420847,191.150229019984,-13.040455640977
"Winter",412420864,227.606446034996,-14.7679195127407
"Winter",416002581,225.814135480988,-17.594207809265
"Winter",416216800,225.408149046024,-15.5393633066232
"Winter",441201728,170.433333198482,-17.2760807650919
"Winter",503586500,172.799355546997,-19.9145963478496
"Winter",576660000,175.516624789764,-15.3160449819214
"Winter",224313000,255.032215462956,-13.0915746715385
"Winter",224544160,263.989786757492,-18.0452982988727
"Winter",412420237,228.868276634295,-15.0265876964319
"Winter",412420583,236.091855555348,-16.1918614629778
"Winter",412420851,200.62132720551,-15.0076244332128
"Winter",412420867,227.233332057416,-14.6098315789474
"Winter",412420903,231.872819796371,-16.0626900405726
"Winter",412421023,234.900334283314,-16.2650214608737
"Winter",416077500,219.464149829765,-13.5760268201124
"Winter",416196800,228.171027857182,-14.0808785632525
"Winter",416208900,227.557585941412,-14.4127414041554
"Winter",416237800,181.892205745937,-4.95714776079917
"Winter",520085000,178.909599009707,-17.7628537925693
"Winter",520137000,170.716947313167,-16.3427354077012
"Winter",367137680,202.401464120257,19.5864407607952
"Winter",367590390,205.351740916198,21.2790532309631
"Winter",224366000,262.395383943822,-2.0401491744164
"Winter",224918000,260.493170003178,-9.05904798220527
"Winter",412326906,169.340991853729,-15.4346723892453
"Winter",412328757,169.047949733025,-15.841542343267
"Winter",412328758,170.313176138932,-15.2351124951164
"Winter",412330102,192.351882891143,-16.3010582010582
"Winter",412463901,239.50288005548,-17.3648254007705
"Winter",412679030,170.860877684407,-16.8340506295976
"Winter",412687150,170.928442725693,-16.6909601743441
"Winter",412687180,171.109409203932,-17.7815561167184
"Winter",413343000,170.155695651887,-15.6424100816631
"Winter",416002469,219.0935551907,-15.7310018214269
"Winter",441201727,169.919867740561,-17.2715207746744
"Winter",441201729,169.285657578646,-17.459471877979
"Winter",441201732,168.210654839661,-16.9874731364039
"Winter",441219253,171.083041355791,-16.986533834196
"Winter",441219875,170.920255171373,-16.2496044088782
"Winter",441219878,170.824511038396,-17.816919604026
"Winter",441225915,169.118238324449,-16.8786767045907
"Winter",441247715,170.334812919645,-18.2501164175872
"Winter",520145000,174.838615360531,-10.6453338192919
"Winter",520187000,178.901676830868,-16.9589609421743
